billing_id,job_id,line_type,description,amount,billed_at
BILL-000343,JOB-000184,parts,Filter pack,33.25,2023-06-20 15:31:00
BILL-000344,JOB-000184,parts,Wiring harness,90.47,2023-06-21 01:31:00
BILL-000345,JOB-000185,parts,Sensor kit,76.76,2023-06-19 22:56:00
BILL-000346,JOB-000186,parts,Thermostat,149.07,2023-06-19 20:47:00
BILL-000347,JOB-000186,parts,Wiring harness,28.55,2023-06-19 22:47:00
BILL-000348,JOB-000186,parts,Sensor kit,136.86,2023-06-20 18:47:00
BILL-000349,JOB-000187,parts,Sensor kit,88.35,2023-06-20 11:06:00
BILL-000350,JOB-000187,parts,Valve assembly,36.76,2023-06-20 17:06:00
BILL-000351,JOB-000188,parts,Control board,259.08,2023-04-09 08:32:00
BILL-000352,JOB-000188,parts,Filter pack,38.96,2023-04-09 01:32:00
BILL-000353,JOB-000188,parts,Thermostat,172.85,2023-04-08 03:32:00
BILL-000354,JOB-000189,parts,Sensor kit,119.43,2023-04-09 00:12:00
BILL-000355,JOB-000189,parts,Control board,102.52,2023-04-09 00:12:00
BILL-000356,JOB-000189,parts,Filter pack,55.61,2023-04-08 11:12:00
BILL-000357,JOB-000190,parts,Valve assembly,35.97,2023-04-08 19:26:00
BILL-000358,JOB-000191,parts,Wiring harness,53.05,2023-12-16 06:19:00
BILL-000359,JOB-000191,parts,Sensor kit,38.61,2023-12-17 09:19:00
BILL-000360,JOB-000191,parts,Refrigerant refill,130.5,2023-12-16 22:19:00
BILL-000361,JOB-000192,parts,Control board,181.82,2023-12-15 19:45:00
BILL-000362,JOB-000192,parts,Valve assembly,75.8,2023-12-16 02:45:00
BILL-000363,JOB-000194,parts,Valve assembly,119.78,2023-01-25 00:20:00
BILL-000364,JOB-000194,parts,Valve assembly,34.93,2023-01-25 21:20:00
BILL-000365,JOB-000195,parts,Compressor unit,777.97,2023-01-25 23:42:00
BILL-000366,JOB-000196,parts,Compressor unit,511.92,2023-01-24 16:41:00
BILL-000367,JOB-000197,parts,Wiring harness,81.59,2023-12-20 17:48:00
BILL-000368,JOB-000197,parts,Thermostat,117.03,2023-12-22 06:48:00
BILL-000369,JOB-000198,parts,Thermostat,107.85,2023-12-20 16:11:00
BILL-000370,JOB-000199,parts,Control board,201.54,2024-07-07 10:41:00
BILL-000371,JOB-000199,parts,Refrigerant refill,178.4,2024-07-05 21:41:00
BILL-000372,JOB-000200,parts,Thermostat,169.63,2024-07-07 08:25:00
BILL-000373,JOB-000200,parts,Control board,295.71,2024-07-05 15:25:00
BILL-000374,JOB-000201,parts,Filter pack,19.23,2023-06-04 05:32:00
BILL-000375,JOB-000201,parts,Compressor unit,738.33,2023-06-03 02:32:00
BILL-000376,JOB-000201,parts,Sensor kit,124.34,2023-06-03 01:32:00
BILL-000377,JOB-000202,parts,Thermostat,53.83,2023-06-03 00:12:00
BILL-000378,JOB-000202,parts,Thermostat,100.05,2023-06-04 05:12:00
BILL-000379,JOB-000203,parts,Refrigerant refill,64.15,2023-06-03 22:41:00
BILL-000380,JOB-000203,parts,Refrigerant refill,182.45,2023-06-03 17:41:00
BILL-000381,JOB-000203,parts,Valve assembly,111.27,2023-06-04 04:41:00
BILL-000382,JOB-000204,parts,Thermostat,167.08,2024-10-23 23:28:00
BILL-000383,JOB-000204,parts,Valve assembly,40.85,2024-10-25 06:28:00
BILL-000384,JOB-000205,parts,Wiring harness,80.14,2024-10-24 21:04:00
BILL-000385,JOB-000205,parts,Valve assembly,35.86,2024-10-24 09:04:00
BILL-000386,JOB-000205,parts,Wiring harness,53.08,2024-10-25 09:04:00
BILL-000387,JOB-000206,parts,Thermostat,111.47,2024-10-24 14:39:00
BILL-000388,JOB-000207,parts,Sensor kit,90.78,2024-09-10 16:42:00
BILL-000389,JOB-000207,parts,Wiring harness,78.13,2024-09-10 03:42:00
BILL-000390,JOB-000207,parts,Valve assembly,107.5,2024-09-10 11:42:00
BILL-000391,JOB-000208,parts,Valve assembly,109.84,2024-09-10 13:37:00
BILL-000392,JOB-000208,parts,Thermostat,105.81,2024-09-09 15:37:00
BILL-000393,JOB-000209,parts,Refrigerant refill,133.54,2023-10-24 14:16:00
BILL-000394,JOB-000209,parts,Valve assembly,74.63,2023-10-26 00:16:00
BILL-000395,JOB-000209,parts,Sensor kit,120.01,2023-10-26 04:16:00
BILL-000396,JOB-000210,parts,Filter pack,18.38,2023-10-24 15:31:00
BILL-000397,JOB-000210,parts,Compressor unit,440.66,2023-10-26 11:31:00
BILL-000398,JOB-000210,parts,Filter pack,37.92,2023-10-26 01:31:00
BILL-000399,JOB-000211,parts,Refrigerant refill,130.92,2023-10-25 03:31:00
BILL-000400,JOB-000212,parts,Refrigerant refill,137.83,2023-10-25 17:30:00
BILL-000401,JOB-000212,parts,Filter pack,33.95,2023-10-26 16:30:00
BILL-000402,JOB-000213,parts,Compressor unit,252.25,2023-10-26 06:02:00
BILL-000403,JOB-000214,parts,Thermostat,50.3,2024-03-02 04:36:00
BILL-000404,JOB-000214,parts,Compressor unit,246.31,2024-03-03 05:36:00
BILL-000405,JOB-000215,parts,Control board,195.9,2024-03-01 19:17:00
BILL-000406,JOB-000215,parts,Valve assembly,34.78,2024-03-02 19:17:00
BILL-000407,JOB-000216,parts,Wiring harness,24.83,2024-11-27 21:56:00
BILL-000408,JOB-000216,parts,Sensor kit,44.5,2024-11-27 12:56:00
BILL-000409,JOB-000216,parts,Refrigerant refill,209.01,2024-11-27 07:56:00
BILL-000410,JOB-000217,parts,Compressor unit,458.31,2024-11-27 01:50:00
BILL-000411,JOB-000217,parts,Control board,207.83,2024-11-28 01:50:00
BILL-000412,JOB-000217,parts,Thermostat,103.49,2024-11-26 18:50:00
BILL-000413,JOB-000218,parts,Valve assembly,72.72,2024-11-28 12:29:00
BILL-000414,JOB-000218,parts,Refrigerant refill,117.45,2024-11-27 23:29:00
BILL-000415,JOB-000220,parts,Control board,179.51,2023-12-21 13:57:00
BILL-000416,JOB-000220,parts,Wiring harness,27.21,2023-12-22 18:57:00
BILL-000417,JOB-000221,parts,Valve assembly,70.59,2023-12-23 06:44:00
BILL-000418,JOB-000221,parts,Control board,96.16,2023-12-22 03:44:00
BILL-000419,JOB-000221,parts,Thermostat,153.9,2023-12-21 23:44:00
BILL-000420,JOB-000223,parts,Refrigerant refill,68.48,2023-12-22 04:07:00
BILL-000421,JOB-000223,parts,Wiring harness,57.65,2023-12-21 21:07:00
BILL-000422,JOB-000223,credit_return,Customer return/adjustment,-66.67,2023-12-31 11:07:00
BILL-000423,JOB-000224,parts,Compressor unit,498.28,2023-12-23 01:55:00
BILL-000424,JOB-000224,parts,Thermostat,161.99,2023-12-23 07:55:00
BILL-000425,JOB-000225,parts,Thermostat,163.78,2023-12-23 16:36:00
BILL-000426,JOB-000225,parts,Control board,93.59,2023-12-21 21:36:00
BILL-000427,JOB-000226,parts,Sensor kit,133.83,2023-12-22 05:52:00
BILL-000428,JOB-000229,parts,Compressor unit,479.54,2024-03-10 03:53:00
BILL-000429,JOB-000231,parts,Sensor kit,137.04,2023-05-27 12:53:00
BILL-000430,JOB-000231,parts,Wiring harness,26.38,2023-05-27 13:53:00
BILL-000431,JOB-000232,parts,Valve assembly,109.95,2023-05-27 11:45:00
BILL-000432,JOB-000232,parts,Sensor kit,40.72,2023-05-28 07:45:00
BILL-000433,JOB-000232,parts,Refrigerant refill,212.63,2023-05-27 11:45:00
BILL-000434,JOB-000233,parts,Thermostat,101.75,2023-06-28 08:38:00
BILL-000435,JOB-000233,parts,Sensor kit,42.71,2023-06-28 17:38:00
BILL-000436,JOB-000233,credit_return,Customer return/adjustment,-46.22,2023-06-30 10:38:00
BILL-000437,JOB-000234,parts,Control board,91.42,2023-06-28 02:09:00
BILL-000438,JOB-000234,parts,Refrigerant refill,179.16,2023-06-28 19:09:00
BILL-000439,JOB-000235,parts,Thermostat,150.87,2023-06-28 13:22:00
BILL-000440,JOB-000236,parts,Filter pack,48.75,2023-06-28 05:59:00
BILL-000441,JOB-000237,parts,Valve assembly,77.89,2023-06-28 19:33:00
BILL-000442,JOB-000237,parts,Valve assembly,114.94,2023-06-29 12:33:00
BILL-000443,JOB-000238,parts,Sensor kit,44.46,2024-08-20 03:49:00
BILL-000444,JOB-000238,parts,Sensor kit,86.08,2024-08-19 18:49:00
BILL-000445,JOB-000238,parts,Wiring harness,55.83,2024-08-20 23:49:00
BILL-000446,JOB-000239,parts,Thermostat,50.42,2024-08-20 02:09:00
BILL-000447,JOB-000239,parts,Refrigerant refill,70.58,2024-08-21 03:09:00
BILL-000448,JOB-000239,parts,Sensor kit,39.65,2024-08-19 12:09:00
BILL-000449,JOB-000240,parts,Sensor kit,135.33,2024-08-20 16:20:00
BILL-000450,JOB-000241,parts,Valve assembly,119.93,2024-08-20 07:41:00
BILL-000451,JOB-000241,parts,Wiring harness,58.01,2024-08-21 13:41:00
BILL-000452,JOB-000242,parts,Filter pack,49.44,2024-08-21 08:27:00
BILL-000453,JOB-000242,parts,Refrigerant refill,70.79,2024-08-20 11:27:00
BILL-000454,JOB-000243,parts,Thermostat,112.21,2025-04-08 04:54:00
BILL-000455,JOB-000243,parts,Control board,307.79,2025-04-09 05:54:00
BILL-000456,JOB-000244,parts,Filter pack,37.95,2025-04-08 11:38:00
BILL-000457,JOB-000245,parts,Refrigerant refill,126.73,2025-03-06 09:36:00
BILL-000458,JOB-000246,parts,Thermostat,108.56,2025-03-04 11:28:00
BILL-000459,JOB-000247,parts,Control board,205.8,2025-03-05 22:14:00
BILL-000460,JOB-000247,parts,Compressor unit,687.32,2025-03-06 07:14:00
BILL-000461,JOB-000248,parts,Wiring harness,30.23,2025-03-06 14:19:00
BILL-000462,JOB-000248,parts,Valve assembly,77.9,2025-03-06 05:19:00
BILL-000463,JOB-000249,parts,Thermostat,166.28,2025-03-06 02:42:00
BILL-000464,JOB-000249,parts,Sensor kit,89.25,2025-03-06 12:42:00
BILL-000465,JOB-000249,parts,Control board,92.52,2025-03-06 10:42:00
BILL-000466,JOB-000250,parts,Sensor kit,38.95,2024-03-15 16:26:00
BILL-000467,JOB-000251,parts,Compressor unit,441.36,2024-03-16 22:37:00
BILL-000468,JOB-000251,parts,Valve assembly,39.18,2024-03-17 11:37:00
BILL-000469,JOB-000251,parts,Compressor unit,512.38,2024-03-16 08:37:00
BILL-000470,JOB-000252,parts,Filter pack,48.75,2024-09-18 04:56:00
BILL-000471,JOB-000253,parts,Compressor unit,225.26,2024-09-17 20:01:00
BILL-000472,JOB-000253,parts,Sensor kit,121.55,2024-09-16 23:01:00
BILL-000473,JOB-000253,parts,Thermostat,51.58,2024-09-17 00:01:00
BILL-000474,JOB-000254,parts,Sensor kit,133.79,2024-09-16 14:42:00
BILL-000475,JOB-000254,parts,Valve assembly,76.92,2024-09-16 21:42:00
BILL-000476,JOB-000256,parts,Control board,309.53,2023-08-01 16:52:00
BILL-000477,JOB-000256,parts,Control board,88.97,2023-08-01 16:52:00
BILL-000478,JOB-000256,parts,Sensor kit,86.55,2023-08-01 12:52:00
BILL-000479,JOB-000257,parts,Refrigerant refill,190.11,2023-05-02 15:27:00
BILL-000480,JOB-000258,parts,Valve assembly,117.24,2023-05-03 01:16:00
BILL-000481,JOB-000259,parts,Sensor kit,77.41,2023-05-04 12:09:00
BILL-000482,JOB-000259,parts,Valve assembly,36.32,2023-05-04 03:09:00
BILL-000483,JOB-000259,parts,Filter pack,34.03,2023-05-03 03:09:00
BILL-000484,JOB-000260,parts,Sensor kit,80.91,2023-05-03 22:12:00
BILL-000485,JOB-000261,parts,Filter pack,52.53,2023-01-29 05:17:00
BILL-000486,JOB-000261,parts,Thermostat,168.06,2023-01-27 22:17:00
BILL-000487,JOB-000261,credit_return,Customer return/adjustment,-77.6,2023-02-03 11:17:00
BILL-000488,JOB-000263,parts,Refrigerant refill,192.42,2023-01-29 08:36:00
BILL-000489,JOB-000264,parts,Refrigerant refill,135.19,2023-01-29 02:21:00
BILL-000490,JOB-000264,parts,Valve assembly,38.1,2023-01-28 07:21:00
BILL-000491,JOB-000265,parts,Valve assembly,41.21,2023-01-29 04:42:00
BILL-000492,JOB-000265,parts,Sensor kit,78.88,2023-01-29 08:42:00
BILL-000493,JOB-000266,parts,Wiring harness,83.96,2025-02-17 12:16:00
BILL-000494,JOB-000266,parts,Filter pack,49.73,2025-02-18 08:16:00
BILL-000495,JOB-000266,parts,Compressor unit,236.23,2025-02-18 07:16:00
BILL-000496,JOB-000267,parts,Sensor kit,81.71,2025-02-18 16:39:00
BILL-000497,JOB-000268,parts,Thermostat,160.59,2025-02-19 01:49:00
BILL-000498,JOB-000269,parts,Wiring harness,58.68,2025-02-18 07:18:00
BILL-000499,JOB-000269,parts,Filter pack,52.25,2025-02-19 10:18:00
BILL-000500,JOB-000269,parts,Wiring harness,49.94,2025-02-18 05:18:00
BILL-000501,JOB-000270,parts,Control board,187.18,2025-05-30 03:24:00
BILL-000502,JOB-000270,parts,Wiring harness,74.72,2025-05-30 18:24:00
BILL-000503,JOB-000270,parts,Sensor kit,91.57,2025-05-31 06:24:00
BILL-000504,JOB-000271,parts,Sensor kit,43.89,2025-05-29 15:01:00
BILL-000505,JOB-000272,parts,Sensor kit,84.3,2025-05-29 23:03:00
BILL-000506,JOB-000272,parts,Thermostat,55.71,2025-05-30 01:03:00
BILL-000507,JOB-000273,parts,Valve assembly,35.6,2025-05-30 04:22:00
BILL-000508,JOB-000273,parts,Wiring harness,28.73,2025-05-30 00:22:00
BILL-000509,JOB-000274,parts,Compressor unit,447.3,2025-02-21 16:48:00
BILL-000510,JOB-000274,parts,Thermostat,168.05,2025-02-23 06:48:00
BILL-000511,JOB-000275,parts,Wiring harness,57.27,2025-02-21 18:07:00
BILL-000512,JOB-000275,parts,Wiring harness,26.5,2025-02-21 20:07:00
BILL-000513,JOB-000276,parts,Valve assembly,119.25,2025-02-22 18:18:00
BILL-000514,JOB-000276,parts,Wiring harness,75.43,2025-02-22 22:18:00
BILL-000515,JOB-000277,parts,Compressor unit,258.51,2025-02-22 03:43:00
BILL-000516,JOB-000277,parts,Refrigerant refill,126.42,2025-02-23 00:43:00
BILL-000517,JOB-000277,parts,Compressor unit,734.28,2025-02-22 17:43:00
BILL-000518,JOB-000278,parts,Refrigerant refill,65.0,2025-02-21 20:55:00
BILL-000519,JOB-000278,parts,Refrigerant refill,128.32,2025-02-22 15:55:00
BILL-000520,JOB-000278,parts,Wiring harness,77.22,2025-02-22 03:55:00
BILL-000521,JOB-000279,parts,Thermostat,51.42,2025-06-17 11:45:00
BILL-000522,JOB-000279,parts,Sensor kit,41.63,2025-06-17 18:45:00
BILL-000523,JOB-000280,parts,Control board,197.07,2025-06-16 17:59:00
BILL-000524,JOB-000280,parts,Wiring harness,25.63,2025-06-16 19:59:00
BILL-000525,JOB-000281,parts,Thermostat,53.85,2025-06-18 06:58:00
BILL-000526,JOB-000281,parts,Wiring harness,57.98,2025-06-17 07:58:00
BILL-000527,JOB-000282,parts,Control board,302.51,2025-06-17 19:42:00
BILL-000528,JOB-000282,parts,Filter pack,37.53,2025-06-18 01:42:00
BILL-000529,JOB-000282,parts,Filter pack,19.03,2025-06-17 18:42:00
BILL-000530,JOB-000283,parts,Control board,85.63,2025-06-18 15:23:00
BILL-000531,JOB-000283,parts,Valve assembly,38.11,2025-06-18 09:23:00
BILL-000532,JOB-000284,parts,Wiring harness,27.31,2023-09-06 11:13:00
BILL-000533,JOB-000284,parts,Control board,188.49,2023-09-06 12:13:00
BILL-000534,JOB-000285,parts,Filter pack,35.47,2023-09-08 06:28:00
BILL-000535,JOB-000285,parts,Valve assembly,38.32,2023-09-06 22:28:00
BILL-000536,JOB-000285,parts,Valve assembly,74.74,2023-09-07 15:28:00
BILL-000537,JOB-000286,parts,Compressor unit,664.08,2023-09-08 10:42:00
BILL-000538,JOB-000286,parts,Compressor unit,754.37,2023-09-07 03:42:00
BILL-000539,JOB-000286,parts,Sensor kit,42.8,2023-09-06 20:42:00
BILL-000540,JOB-000287,parts,Thermostat,116.48,2024-05-09 10:57:00
BILL-000541,JOB-000287,parts,Thermostat,165.8,2024-05-10 10:57:00
BILL-000542,JOB-000287,parts,Thermostat,49.43,2024-05-09 11:57:00
BILL-000543,JOB-000287,credit_return,Customer return/adjustment,-60.7,2024-05-10 11:57:00
BILL-000544,JOB-000288,parts,Control board,206.24,2024-05-10 13:53:00
BILL-000545,JOB-000288,parts,Valve assembly,74.49,2024-05-09 01:53:00
BILL-000546,JOB-000289,parts,Control board,207.68,2024-05-09 05:01:00
BILL-000547,JOB-000289,parts,Valve assembly,77.76,2024-05-10 03:01:00
BILL-000548,JOB-000290,parts,Compressor unit,487.04,2024-05-09 08:32:00
BILL-000549,JOB-000291,parts,Valve assembly,118.31,2024-05-09 09:14:00
BILL-000550,JOB-000291,parts,Valve assembly,117.91,2024-05-10 12:14:00
BILL-000551,JOB-000292,parts,Valve assembly,68.48,2024-08-01 22:48:00
BILL-000552,JOB-000292,credit_return,Customer return/adjustment,-46.07,2024-08-04 08:48:00
BILL-000553,JOB-000293,parts,Valve assembly,77.51,2024-08-03 03:18:00
BILL-000554,JOB-000293,parts,Filter pack,17.0,2024-08-01 12:18:00
BILL-000555,JOB-000294,parts,Control board,272.91,2024-08-03 10:16:00
BILL-000556,JOB-000295,parts,Wiring harness,84.07,2023-10-25 20:46:00
BILL-000557,JOB-000295,parts,Wiring harness,59.73,2023-10-24 10:46:00
BILL-000558,JOB-000296,parts,Filter pack,33.49,2023-10-26 12:12:00
BILL-000559,JOB-000296,parts,Thermostat,54.35,2023-10-24 23:12:00
BILL-000560,JOB-000297,parts,Wiring harness,28.38,2023-10-26 03:17:00
BILL-000561,JOB-000297,parts,Control board,284.23,2023-10-25 13:17:00
BILL-000562,JOB-000298,parts,Filter pack,34.5,2023-10-25 13:37:00
BILL-000563,JOB-000298,parts,Thermostat,160.94,2023-10-25 02:37:00
BILL-000564,JOB-000298,parts,Sensor kit,123.72,2023-10-25 20:37:00
BILL-000565,JOB-000299,parts,Valve assembly,119.56,2025-05-10 02:01:00
BILL-000566,JOB-000300,parts,Sensor kit,86.82,2025-05-09 19:48:00
BILL-000567,JOB-000300,parts,Control board,179.3,2025-05-09 19:48:00
BILL-000568,JOB-000300,parts,Valve assembly,40.77,2025-05-11 11:48:00
BILL-000569,JOB-000301,parts,Wiring harness,57.76,2025-05-10 16:14:00
BILL-000570,JOB-000301,parts,Valve assembly,80.11,2025-05-11 06:14:00
BILL-000571,JOB-000301,parts,Control board,306.93,2025-05-11 06:14:00
BILL-000572,JOB-000302,parts,Wiring harness,29.47,2025-05-10 22:49:00
BILL-000573,JOB-000302,parts,Thermostat,115.04,2025-05-10 19:49:00
BILL-000574,JOB-000303,parts,Wiring harness,49.54,2025-05-10 14:57:00
BILL-000575,JOB-000304,parts,Sensor kit,137.89,2023-06-22 10:56:00
BILL-000576,JOB-000304,parts,Wiring harness,54.01,2023-06-23 02:56:00
BILL-000577,JOB-000304,parts,Compressor unit,680.28,2023-06-23 01:56:00
BILL-000578,JOB-000305,parts,Wiring harness,26.54,2023-06-22 03:32:00
BILL-000579,JOB-000306,parts,Thermostat,148.75,2023-06-22 13:02:00
BILL-000580,JOB-000306,parts,Compressor unit,734.59,2023-06-23 07:02:00
BILL-000581,JOB-000306,parts,Wiring harness,82.69,2023-06-22 02:02:00
BILL-000582,JOB-000307,parts,Thermostat,112.82,2023-06-22 07:59:00
BILL-000583,JOB-000308,parts,Refrigerant refill,120.45,2023-06-21 22:33:00
BILL-000584,JOB-000308,parts,Compressor unit,243.72,2023-06-22 23:33:00
BILL-000585,JOB-000308,parts,Refrigerant refill,199.03,2023-06-22 09:33:00
BILL-000586,JOB-000309,parts,Control board,304.26,2024-02-21 22:25:00
BILL-000587,JOB-000309,parts,Refrigerant refill,135.77,2024-02-21 16:25:00
BILL-000588,JOB-000309,credit_return,Customer return/adjustment,-17.42,2024-02-28 11:25:00
BILL-000589,JOB-000310,parts,Thermostat,98.72,2024-02-22 15:29:00
BILL-000590,JOB-000310,parts,Valve assembly,114.85,2024-02-23 10:29:00
BILL-000591,JOB-000310,parts,Compressor unit,478.16,2024-02-23 11:29:00
BILL-000592,JOB-000311,parts,Compressor unit,470.35,2024-02-22 23:28:00
BILL-000593,JOB-000311,parts,Thermostat,114.21,2024-02-21 21:28:00
BILL-000594,JOB-000312,parts,Control board,266.13,2024-02-22 19:47:00
BILL-000595,JOB-000312,parts,Filter pack,19.49,2024-02-22 23:47:00
BILL-000596,JOB-000313,parts,Filter pack,56.09,2024-02-23 00:01:00
BILL-000597,JOB-000314,parts,Refrigerant refill,125.9,2024-12-15 07:04:00
BILL-000598,JOB-000314,parts,Thermostat,114.21,2024-12-15 07:04:00
BILL-000599,JOB-000316,parts,Compressor unit,223.11,2024-12-14 07:25:00
BILL-000600,JOB-000316,parts,Compressor unit,258.25,2024-12-15 01:25:00
BILL-000601,JOB-000317,parts,Valve assembly,106.21,2023-03-01 02:51:00
BILL-000602,JOB-000317,parts,Valve assembly,79.24,2023-03-01 05:51:00
BILL-000603,JOB-000318,parts,Sensor kit,43.41,2023-02-28 13:34:00
BILL-000604,JOB-000318,parts,Valve assembly,107.8,2023-02-28 02:34:00
BILL-000605,JOB-000318,parts,Valve assembly,38.64,2023-02-28 05:34:00
BILL-000606,JOB-000319,parts,Wiring harness,56.3,2023-02-28 02:07:00
BILL-000607,JOB-000319,parts,Filter pack,50.28,2023-03-01 00:07:00
BILL-000608,JOB-000319,parts,Filter pack,52.64,2023-02-28 23:07:00
BILL-000609,JOB-000320,parts,Thermostat,53.83,2023-02-28 16:59:00
BILL-000610,JOB-000320,parts,Compressor unit,784.36,2023-02-28 13:59:00
BILL-000611,JOB-000320,parts,Refrigerant refill,122.37,2023-02-28 01:59:00
BILL-000612,JOB-000321,parts,Control board,267.73,2024-05-30 18:31:00
BILL-000613,JOB-000321,parts,Thermostat,175.37,2024-05-29 11:31:00
BILL-000614,JOB-000321,parts,Refrigerant refill,183.4,2024-05-31 05:31:00
BILL-000615,JOB-000321,credit_return,Customer return/adjustment,-61.98,2024-06-04 10:31:00
BILL-000616,JOB-000322,parts,Control board,192.02,2024-05-30 23:07:00
BILL-000617,JOB-000322,parts,Control board,93.99,2024-05-30 22:07:00
BILL-000618,JOB-000322,parts,Refrigerant refill,61.83,2024-05-31 12:07:00
BILL-000619,JOB-000323,parts,Refrigerant refill,67.47,2025-05-29 16:23:00
BILL-000620,JOB-000323,parts,Sensor kit,46.57,2025-05-29 04:23:00
BILL-000621,JOB-000323,parts,Valve assembly,39.85,2025-05-30 09:23:00
BILL-000622,JOB-000324,parts,Sensor kit,122.47,2025-05-29 02:32:00
BILL-000623,JOB-000325,parts,Thermostat,99.32,2023-06-20 11:55:00
BILL-000624,JOB-000325,parts,Filter pack,49.39,2023-06-21 14:55:00
BILL-000625,JOB-000325,parts,Control board,174.17,2023-06-20 20:55:00
BILL-000626,JOB-000326,parts,Refrigerant refill,194.5,2023-06-21 23:33:00
BILL-000627,JOB-000326,parts,Compressor unit,709.88,2023-06-20 18:33:00
BILL-000628,JOB-000326,parts,Thermostat,152.11,2023-06-22 03:33:00
BILL-000629,JOB-000327,parts,Compressor unit,504.44,2023-06-22 04:43:00
BILL-000630,JOB-000327,parts,Valve assembly,77.99,2023-06-21 11:43:00
BILL-000631,JOB-000328,parts,Valve assembly,109.43,2023-06-22 02:15:00
BILL-000632,JOB-000328,parts,Refrigerant refill,124.16,2023-06-22 03:15:00
BILL-000633,JOB-000328,parts,Valve assembly,112.63,2023-06-21 03:15:00
BILL-000634,JOB-000329,parts,Thermostat,100.72,2023-06-20 21:54:00
BILL-000635,JOB-000329,parts,Wiring harness,79.28,2023-06-21 21:54:00
BILL-000636,JOB-000330,parts,Sensor kit,44.87,2025-04-24 03:06:00
BILL-000637,JOB-000330,parts,Refrigerant refill,130.05,2025-04-24 09:06:00
BILL-000638,JOB-000330,parts,Thermostat,56.0,2025-04-25 04:06:00
BILL-000639,JOB-000331,parts,Sensor kit,79.16,2025-04-24 15:53:00
BILL-000640,JOB-000331,parts,Sensor kit,43.44,2025-04-24 00:53:00
BILL-000641,JOB-000331,parts,Filter pack,59.2,2025-04-25 07:53:00
BILL-000642,JOB-000332,parts,Valve assembly,41.29,2025-05-23 18:31:00
BILL-000643,JOB-000332,parts,Valve assembly,70.6,2025-05-23 09:31:00
BILL-000644,JOB-000333,parts,Filter pack,34.62,2025-05-24 02:41:00
BILL-000645,JOB-000333,parts,Wiring harness,49.56,2025-05-23 15:41:00
BILL-000646,JOB-000333,parts,Compressor unit,465.95,2025-05-22 22:41:00
BILL-000647,JOB-000334,parts,Compressor unit,677.12,2025-05-24 11:05:00
BILL-000648,JOB-000334,parts,Valve assembly,81.05,2025-05-22 18:05:00
BILL-000649,JOB-000335,parts,Filter pack,54.65,2025-02-04 23:40:00
BILL-000650,JOB-000335,parts,Refrigerant refill,195.11,2025-02-05 04:40:00
BILL-000651,JOB-000336,parts,Sensor kit,88.79,2025-02-06 11:34:00
BILL-000652,JOB-000337,parts,Wiring harness,90.09,2025-02-06 12:45:00
BILL-000653,JOB-000338,parts,Wiring harness,25.31,2025-02-06 10:01:00
BILL-000654,JOB-000338,parts,Filter pack,36.27,2025-02-05 22:01:00
BILL-000655,JOB-000339,parts,Thermostat,58.11,2024-06-11 13:47:00
BILL-000656,JOB-000340,parts,Wiring harness,29.56,2024-06-13 00:33:00
BILL-000657,JOB-000340,parts,Valve assembly,107.16,2024-06-11 16:33:00
BILL-000658,JOB-000340,parts,Thermostat,52.14,2024-06-12 21:33:00
BILL-000659,JOB-000341,parts,Valve assembly,103.1,2024-06-11 16:25:00
BILL-000660,JOB-000341,parts,Filter pack,38.92,2024-06-12 16:25:00
BILL-000661,JOB-000342,parts,Sensor kit,84.46,2025-01-24 15:45:00
BILL-000662,JOB-000343,parts,Valve assembly,77.57,2025-01-23 12:52:00
BILL-000663,JOB-000346,parts,Wiring harness,53.86,2024-11-29 19:08:00
BILL-000664,JOB-000346,parts,Compressor unit,656.68,2024-11-29 20:08:00
BILL-000665,JOB-000346,parts,Filter pack,18.24,2024-11-28 14:08:00
BILL-000666,JOB-000347,parts,Thermostat,109.62,2024-10-23 01:38:00
BILL-000667,JOB-000347,parts,Control board,260.81,2024-10-21 14:38:00
BILL-000668,JOB-000348,parts,Sensor kit,136.33,2024-10-21 17:14:00
BILL-000669,JOB-000349,parts,Refrigerant refill,68.47,2024-10-22 17:59:00
BILL-000670,JOB-000349,parts,Valve assembly,75.26,2024-10-23 13:59:00
BILL-000671,JOB-000350,parts,Control board,97.81,2024-10-22 13:00:00
BILL-000672,JOB-000350,parts,Thermostat,171.11,2024-10-23 15:00:00
BILL-000673,JOB-000352,parts,Compressor unit,487.17,2024-06-19 11:44:00
BILL-000674,JOB-000352,parts,Wiring harness,24.8,2024-06-20 07:44:00
BILL-000675,JOB-000353,parts,Refrigerant refill,201.81,2024-10-24 07:50:00
BILL-000676,JOB-000353,parts,Thermostat,167.36,2024-10-24 23:50:00
BILL-000677,JOB-000354,parts,Sensor kit,44.82,2024-10-24 03:27:00
BILL-000678,JOB-000354,parts,Valve assembly,34.97,2024-10-25 00:27:00
BILL-000679,JOB-000354,parts,Compressor unit,241.92,2024-10-23 18:27:00
BILL-000680,JOB-000355,parts,Refrigerant refill,183.64,2023-08-31 06:50:00
BILL-000681,JOB-000355,parts,Sensor kit,93.35,2023-08-31 01:50:00
BILL-000682,JOB-000356,parts,Filter pack,16.69,2023-08-31 17:06:00
BILL-000683,JOB-000357,parts,Compressor unit,515.28,2023-04-22 09:01:00
BILL-000684,JOB-000357,parts,Refrigerant refill,118.28,2023-04-21 14:01:00
